telepulesnev;kshk5;jogallas;terulet;lakonepesseg;lakasszam;nepsuruseg
Komárom;05449;város;6990;18805;8639;269,03
Komjáti;10612;község;1108;196;140;17,69
Komló;26408;város;4655;22997;11261;494,03
Komlódtótfalu;22336;község;697;112;71;16,07
Komlósd;09858;község;746;150;90;20,11
Komlóska;16559;község;2987;228;159;7,63
Komoró;27146;község;1169;1266;453;108,30
Kompolt;23995;község;2273;1940;762;85,35
Kondó;32498;község;1963;601;218;30,62
Kondorfa;13028;község;2161;476;299;22,03
Kondoros;10287;város;8184;4851;2476;59,27
Kóny;11262;község;2887;2637;1052;91,34
Konyár;25964;község;4170;2202;836;52,81
Kópháza;06895;község;873;2112;736;241,92
Koppányszántó;21184;község;2255;293;213;12,99
Korlát;22956;község;791;296;144;37,42
Koroncó;24633;község;2690;2131;743;79,22
Kórós;08110;község;1512;210;86;13,89
Kosd;27687;község;3409;2385;913;69,96
Kóspallag;24679;község;1277;746;312;58,42
Kótaj;23728;község;2593;4461;1519;172,04
Kovácshida;24226;község;809;279;92;34,49
Kovácsszénája;14517;község;783;67;44;8,56
Kovácsvágás;28547;község;2108;655;220;31,07
Kozárd;13842;község;644;162;131;25,16
Kozármisleny;06336;város;1445;6071;2137;420,14
Kozmadombja;13082;község;763;34;32;4,46
Köblény;25247;község;804;186;106;23,13
Köcsk;04190;község;1258;235;165;18,68
Kökény;03540;község;490;606;225;123,67
Kõkút;13745;község;2023;555;129;27,43
Kölcse;16665;nagyközség;2824;1454;539;51,49
Kölesd;10463;község;3813;1485;612;38,95
Kölked;17899;község;6194;1030;383;16,63
Kömlõ;14535;község;4922;1879;673;38,18
Kömlõd;07630;község;2284;1081;398;47,33
Kömörõ;23612;község;1637;620;237;37,87
Kömpöc;13806;község;2998;651;362;21,71
Körmend;13532;város;5279;11305;5081;214,15
Környe;30553;község;4536;4463;1747;98,39
Köröm;26602;község;834;1410;342;169,06
Kõröshegy;15510;község;2139;1352;642;63,21
Körösladány;11615;város;12379;4373;1948;35,33
Körösnagyharsány;10764;község;1991;492;337;24,71
Köröstarcsa;12900;község;6280;2434;1207;38,76
Kõröstetétlen;32975;község;3265;836;374;25,60
Körösújfalu;30164;község;2530;421;270;16,64
Körösszakál;31130;község;1502;799;355;53,20
Körösszegapáti;08943;község;4585;991;495;21,61
Kõszárhegy;30650;község;590;1466;559;248,47
Kõszeg;16832;város;5466;11747;5009;214,91
Kõszegdoroszló;05740;község;965;228;106;23,63
Kõszegpaty;26046;község;1225;189;79;15,43
Kõszegszerdahely;20109;község;737;465;199;63,09
Kötcse;18148;község;1954;507;250;25,95
Kötegyán;06804;község;4295;1402;705;32,64
Kõtelek;11235;község;4514;1611;811;35,69
Kõvágóörs;23454;község;2209;740;363;33,50
Kõvágószõlõs;15538;község;1825;1253;517;68,66
Kõvágótöttös;06992;község;1394;323;129;23,17
Kövegy;09955;község;971;366;230;37,69
Köveskál;25858;község;1449;324;169;22,36
Krasznokvajda;19576;község;1144;496;203;43,36
Kulcs;34209;község;1673;2908;1081;173,82
Kunadacs;05856;község;8990;1477;643;16,43
Kunágota;16045;község;6396;2591;1319;40,51
Kunbaja;06044;község;3372;1458;741;43,24
Kunbaracs;07728;község;5511;624;294;11,32
Kuncsorba;05254;község;3363;618;296;18,38
Kunfehértó;29027;község;7837;2064;960;26,34
Kunhegyes;22567;város;14893;7660;3350;51,43
Kunmadaras;23171;nagyközség;15355;5356;2066;34,88
