telepulesnev;kshk5;jogallas;terulet;lakonepesseg;lakasszam;nepsuruseg
Mosonudvar;34412;község;157;427;152;271,97
Mozsgó;29540;község;2176;997;336;45,82
Mõcsény;33349;község;1214;344;141;28,34
Mucsfa;13620;község;1275;328;148;25,73
Mucsi;07029;község;2476;439;211;17,73
Múcsony;21546;nagyközség;1755;2932;1208;167,07
Muhi;02158;község;962;443;209;46,05
Murakeresztúr;25210;község;1171;1574;695;134,42
Murarátka;07968;község;1204;223;127;18,52
Muraszemenye;33987;község;1615;559;286;34,61
Murga;18917;község;659;66;49;10,02
Murony;11989;község;3570;1136;542;31,82
Nábrád;19211;község;1768;950;365;53,73
Nadap;27599;község;693;617;256;89,03
Nádasd;06716;község;3560;1276;548;35,84
Nádasdladány;13903;község;2635;1729;634;65,62
Nádudvar;28103;város;22591;8704;3738;38,53
Nágocs;15909;község;2226;685;257;30,77
Nagyacsád;23551;község;1396;592;255;42,41
Nagyalásony;27979;község;1401;434;212;30,98
Nagyar;04710;község;1599;676;278;42,28
Nagyatád;17941;város;7060;10348;5004;146,57
Nagybajcs;02361;község;765;992;376;129,67
Nagybajom;21652;város;10806;3312;1131;30,65
Nagybakónak;12760;község;1794;389;216;21,68
Nagybánhegyes;26028;község;4224;1189;788;28,15
Nagybaracska;25955;község;3795;2294;1017;60,45
Nagybarca;29188;község;1439;946;354;65,74
Nagybárkány;16391;község;884;686;239;77,60
Nagyberény;29063;község;2314;1295;597;55,96
Nagyberki;21449;község;2174;1441;518;66,28
Nagybörzsöny;14775;község;5066;677;353;13,36
Nagybudmér;03984;község;1022;167;83;16,34
Nagycenk;02495;nagyközség;1945;2078;789;106,84
Nagycsány;18111;község;565;143;52;25,31
Nagycsécs;05582;község;983;781;286;79,45
Nagycsepely;20598;község;1980;396;183;20,00
Nagycserkesz;22743;község;4148;1699;634;40,96
Nagydém;10001;község;1332;355;157;26,65
Nagydobos;21485;község;2693;2282;745;84,74
Nagydobsza;33899;község;1323;615;227;46,49
Nagydorog;18388;nagyközség;4144;2567;1081;61,94
Nagyecsed;06488;város;4385;6292;2380;143,49
Nagyér;20914;község;1229;527;258;42,88
Nagyesztergár;23180;község;1829;1146;401;62,66
Nagyfüged;26879;község;2751;1671;711;60,74
Nagygeresd;09283;község;940;270;142;28,72
Nagygörbõ;05218;község;745;144;102;19,33
Nagygyimót;08262;község;2344;563;246;24,02
Nagyhajmás;12858;község;1801;306;143;16,99
Nagyhalász;27155;város;4430;5638;1989;127,27
Nagyharsány;02653;község;2601;1418;516;54,52
Nagyhegyes;09478;község;13277;2707;1049;20,39
Nagyhódos;26976;község;766;121;85;15,80
Nagyhuta;15468;község;3506;60;41;1,71
Nagyigmánd;22372;nagyközség;5135;2888;1167;56,24
Nagyiván;21689;község;4316;1174;505;27,20
Nagykálló;24785;város;6852;9214;3638;134,47
Nagykamarás;04242;község;4310;1336;840;31,00
Nagykanizsa;30933;megyeijogúváros;14840;47349;22436;319,06
Nagykapornak;20589;község;2441;898;368;36,79
Nagykarácsony;07001;község;3046;1285;587;42,19
Nagykáta;13435;város;8161;12342;5085;151,23
Nagykereki;08907;község;3727;1371;503;36,79
Nagykeresztúr;34281;község;820;252;101;30,73
Nagykinizs;26505;község;658;302;127;45,90
Nagykónyi;27182;község;4788;1065;519;22,24
Nagykorpád;32805;község;3342;573;218;17,15
Nagykovácsi;09991;nagyközség;2767;7636;2679;275,97
Nagykozár;10940;község;1146;1947;654;169,90
Nagykökényes;24943;község;1728;591;263;34,20
Nagykölked;32920;község;978;148;69;15,13
Nagykõrös;19716;város;22794;23529;10517;103,22
Nagykörû;15574;község;4281;1579;907;36,88
Nagykutas;22178;község;845;425;185;50,30
Nagylak;12779;község;469;433;300;92,32
Nagylengyel;04455;község;1024;459;205;44,82
Nagylóc;21102;község;3912;1485;697;37,96
Nagylók;32364;község;3244;1056;461;32,55
Nagylózs;32939;község;1924;1025;290;53,27
Nagymágocs;17233;nagyközség;7509;2984;1237;39,74
Nagymányok;14030;város;1068;2233;919;209,08
Nagymaros;31732;város;3437;4750;2018;138,20
Nagymizdó;15060;község;676;112;78;16,57
Nagynyárád;14650;község;2434;706;323;29,01
Nagyoroszi;23986;község;4003;2133;839;53,29
Nagypáli;28468;község;633;508;188;80,25
Nagypall;19877;község;713;359;154;50,35
Nagypeterd;27164;község;1163;624;229;53,65
Nagypirit;21403;község;1017;264;158;25,96
Nagyrábé;06309;nagyközség;8542;2147;934;25,13
Nagyrada;16513;község;1285;467;201;36,34
Nagyrákos;29869;község;1611;256;132;15,89
Nagyrécse;14979;község;2699;1048;398;38,83
Nagyréde;31486;nagyközség;3434;3171;1250;92,34
Nagyrév;06318;község;2979;633;373;21,25
Nagyrozvágy;33181;község;2681;641;290;23,91
Nagysáp;27076;község;2478;1418;509;57,22
Nagysimonyi;26143;község;1567;974;425;62,16
Nagyszakácsi;25520;község;2137;418;278;19,56
Nagyszékely;06761;község;3671;403;227;10,98
Nagyszekeres;27988;község;1051;523;204;49,76
Nagyszénás;08244;nagyközség;9556;4832;2307;50,57
Nagyszentjános;33543;község;3030;1788;626;59,01
Nagyszokoly;13709;község;2799;895;420;31,98
Nagytálya;27605;község;1319;844;365;63,99
Nagytarcsa;23409;község;1214;4397;1616;362,19
Nagytevel;25201;község;1441;507;216;35,18
Nagytilaj;24837;község;1566;131;135;8,37
Nagytótfalu;28927;község;1117;349;129;31,24
Nagytõke;29179;község;5468;381;223;6,97
Nagyút;10418;község;1894;661;337;34,90
Nagyvarsány;33783;község;1255;1421;548;113,23
Nagyváty;14191;község;1267;334;129;26,36
Nagyvázsony;19196;község;7629;1759;679;23,06
Nagyvejke;16452;község;777;150;84;19,31
Nagyveleg;23588;község;1317;645;270;48,97
Nagyvenyim;26134;község;4368;4051;1520;92,74
Nagyvisnyó;28282;község;4302;903;510;20,99
Nak;02796;község;2778;547;281;19,69
Napkor;08420;község;3735;3666;1337;98,15
Nárai;17367;község;1599;1298;465;81,18
Narda;02042;község;1035;459;194;44,35
Naszály;20163;község;3022;2323;872;76,87
Négyes;24156;község;1733;231;225;13,33
Nekézseny;28033;község;1410;699;341;49,57
Nemesapáti;06169;község;1037;492;218;47,44
Nemesbikk;05245;község;2410;927;369;38,46
Nemesborzova;27119;község;220;119;44;54,09
Nemesbõd;24509;község;914;621;252;67,94
Nemesbük;32948;község;998;736;368;73,75
Nemescsó;23320;község;738;283;119;38,35
Nemesdéd;07913;község;2661;719;314;27,02
Nemesgörzsöny;05652;község;1925;676;296;35,12
Nemesgulács;02787;község;835;928;378;111,14
Nemeshany;05555;község;1050;381;158;36,29
Nemeshetés;07658;község;661;247;195;37,37
Nemeske;18236;község;1057;217;107;20,53
Nemeskér;29328;község;642;203;96;31,62
Nemeskeresztúr;03674;község;1217;283;170;23,25
Nemeskisfalud;25511;község;282;177;44;62,77
Nemeskocs;02839;község;793;300;143;37,83
Nemeskolta;24059;község;734;341;141;46,46
Nemesládony;26240;község;567;132;96;23,28
Nemesmedves;31556;község;474;25;13;5,27
Nemesnádudvar;32540;község;5878;1805;730;30,71
Nemesnép;32665;község;972;120;89;12,35
Nemespátró;19859;község;1225;263;163;21,47
Nemesrádó;18023;község;1402;301;175;21,47
Nemesrempehollós;09672;község;1205;288;150;23,90
Nemessándorháza;25609;község;1115;300;173;26,91
Nemesvámos;02194;község;4078;2706;932;66,36
Nemesvid;17561;község;1838;710;319;38,63
Nemesvita;28422;község;925;310;195;33,51
Nemesszalók;21759;község;2056;873;359;42,46
Nemesszentandrás;08059;község;546;267;131;48,90
Németbánya;10409;község;1219;103;84;8,45
Németfalu;25414;község;867;170;71;19,61
Németkér;15006;község;6497;1711;748;26,34
Nemti;27580;község;1106;711;432;64,29
Neszmély;33826;község;2772;1281;563;46,21
Nézsa;09797;község;1867;1142;480;61,17
Nick;10843;község;1140;492;229;43,16
Nikla;10959;község;2335;714;322;30,58
Nógrád;04358;község;2954;1464;691;49,56
Nógrádkövesd;32300;község;899;667;298;74,19
Nógrádmarcal;29832;község;1993;481;203;24,13
Nógrádmegyer;12131;község;2277;1630;579;71,59
Nógrádsáp;08387;község;1547;859;375;55,53
Nógrádsipek;19497;község;2013;676;303;33,58
Nógrádszakál;27340;község;1872;619;252;33,07
Nóráp;26523;község;758;205;97;27,04
Noszlop;14757;község;3406;937;408;27,51
Noszvaj;18810;község;1884;1967;746;104,41
Nova;03355;község;3929;811;355;20,64
Novaj;29276;község;1852;1286;562;69,44
Novajidrány;27191;község;1431;1370;450;95,74
Nõtincs;29425;község;2047;1075;513;52,52
Nyalka;19752;község;1286;450;198;34,99
Nyárád;29009;község;1979;907;357;45,83
Nyáregyháza;23038;község;3201;3692;1474;115,34
Nyárlõrinc;23056;község;6636;2309;1020;34,80
Nyársapát;20066;község;5403;1949;847;36,07
Nyékládháza;12885;város;2467;4929;1853;199,80
Nyergesújfalu;15352;város;3963;7346;3093;185,36
Nyésta;04419;község;689;36;35;5,22
Nyim;03203;község;976;305;144;31,25
Nyírábrány;32294;nagyközség;5559;3690;1505;66,38
Nyíracsád;14003;község;7492;3765;1490;50,25
Nyirád;24004;község;6136;1812;752;29,53
Nyíradony;06187;város;9657;7727;2754;80,01
Nyírbátor;14845;város;6673;11891;4729;178,20
Nyírbéltek;15802;nagyközség;6218;2910;1097;46,80
Nyírbogát;31158;nagyközség;5536;3037;1272;54,86
Nyírbogdány;28802;község;3503;2799;1018;79,90
Nyírcsaholy;07904;község;3434;2226;841;64,82
Nyírcsászári;25973;község;1324;1192;429;90,03
Nyírderzs;05041;község;1701;656;268;38,57
Nyíregyháza;17206;megyeszékhely,megyeijogúváros;27454;117689;51885;428,68
Nyírgelse;28440;község;2762;1092;496;39,54
Nyírgyulaj;09238;község;3575;2074;776;58,01
Nyíri;26435;község;1647;381;179;23,13
Nyíribrony;14696;község;2009;1109;428;55,20
Nyírjákó;31477;község;1034;883;364;85,40
Nyírkarász;18290;község;4143;2296;848;55,42
Nyírkáta;32452;község;3863;2000;666;51,77
Nyírkércs;25928;község;1428;797;310;55,81
Nyírlövõ;11095;község;791;715;251;90,39
Nyírlugos;11271;város;5839;2633;1212;45,09
Nyírmada;12274;város;3880;4807;1565;123,89
Nyírmártonfalva;32382;község;5748;2006;809;34,90
Nyírmeggyes;23269;község;2879;2712;1038;94,20
Nyírmihálydi;26365;község;2548;2279;651;89,44
Nyírparasznya;10807;község;1476;1013;328;68,63
Nyírpazony;33145;nagyközség;1505;3402;1279;226,05
Nyírpilis;03878;község;1634;891;224;54,53
Nyírtass;28060;község;3795;1988;797;52,38
Nyírtelek;13550;város;6792;6564;2523;96,64
Nyírtét;09256;község;1717;1007;368;58,65
Nyírtura;12098;község;2148;1790;678;83,33
Nyírvasvári;16522;község;2842;1969;744;69,28
Nyomár;04215;község;1046;294;131;28,11
Nyõgér;22318;község;1073;331;172;30,85
Nyugotszenterzsébet;26329;község;923;243;87;26,33
Nyúl;12955;község;2514;4392;1645;174,70
Óbánya;12645;község;749;116;50;15,49
Óbarok;34306;község;1926;794;322;41,23
Óbudavár;23913;község;323;46;30;14,24
Ócsa;04075;város;8166;9257;3498;113,36
Ócsárd;03780;község;1266;378;140;29,86
Ófalu;19646;község;985;325;129;32,99
Ófehértó;22284;község;4317;2529;1002;58,58
Óföldeák;07755;község;3509;481;181;13,71
Óhíd;27775;község;1248;571;242;45,75
Okány;19257;község;7062;2511;1176;35,56
Okorág;20686;község;1185;149;80;12,57
Okorvölgy;08341;község;311;73;37;23,47
Olasz;18555;község;1029;606;247;58,89
Olaszfa;19743;község;1654;378;254;22,85
Olaszfalu;26514;község;4280;1040;400;24,30
Olaszliszka;31778;község;3949;1713;720;43,38
Olcsva;11129;község;996;715;257;71,79
Olcsvaapáti;10834;község;1100;300;153;27,27
Old;21704;község;1407;328;144;23,31
Ólmod;22044;község;366;107;55;29,23
Oltárc;25478;község;2953;248;125;8,40
Onga;22558;város;3149;4724;1587;150,02
Ónod;22628;község;1774;2303;808;129,82
Ópályi;27924;község;2672;3074;914;115,04
Ópusztaszer;12797;község;5950;2172;896;36,50
Orbányosfa;20835;község;568;115;58;20,25
Orci;24536;község;997;566;196;56,77
Ordacsehi;16823;község;2256;761;368;33,73
Ordas;16276;község;1652;415;252;25,12
Orfalu;17093;község;694;71;31;10,23
Orfû;11730;község;3215;1003;451;31,20
Orgovány;16939;község;9916;3416;1653;34,45
Ormándlak;22497;község;575;98;54;17,04
Ormosbánya;34069;község;754;1546;677;205,04
Orosháza;23065;város;20222;27807;14060;137,51
Oroszi;16595;község;474;132;86;27,85
Oroszlány;30766;város;7586;17929;7956;236,34
Oroszló;04482;község;612;278;119;45,42
Orosztony;25052;község;1845;409;219;22,17
Ortaháza;04950;község;703;108;54;15,36
Osli;15121;község;1880;863;384;45,90
Ostffyasszonyfa;32629;község;3431;738;383;21,51
Ostoros;27216;község;2351;2594;1007;110,34
Oszkó;07667;község;2031;634;299;31,22
Oszlár;02866;község;571;318;185;55,69
Osztopán;19770;község;2283;824;338;36,09
Ózd;14492;város;9180;32827;14496;357,59
Ózdfalu;18661;község;800;158;68;19,75
Ozmánbük;18953;község;669;192;89;28,70
Ozora;05661;község;5955;1640;709;27,54
Öcs;28112;község;1370;175;105;12,77
Õcsény;08961;község;7261;2306;943;31,76
Öcsöd;28006;nagyközség;10366;3203;1638;30,90
Ököritófülpös;31769;nagyközség;3342;1812;665;54,22
Ölbõ;12043;község;2353;731;305;31,07
Ömböly;26550;község;3036;451;199;14,86
Õr;09025;község;1778;1474;535;82,90
Õrbottyán;08545;város;2738;7196;2699;262,82
Öregcsertõ;08679;község;4306;754;401;17,51
Öreglak;07056;község;2072;1502;554;72,49
Õrhalom;03249;község;1746;931;402;53,32
Õrimagyarósd;13453;község;1229;223;120;18,14
Õriszentpéter;10630;város;3356;1142;524;34,03
Örkény;05281;város;3644;4721;1781;129,56
Örményes;29382;község;3413;997;461;29,21
Örménykút;27438;község;5456;342;213;6,27
Õrtilos;14012;község;2112;431;326;20,41
Örvényes;10092;község;446;123;86;27,58
Õsagárd;19318;község;1092;305;156;27,93
Õsi;24068;község;3586;1961;760;54,68
Öskü;25450;község;4830;2169;825;44,91
Öttevény;02635;község;2366;3048;1086;128,83
Öttömös;31079;község;3091;698;397;22,58
Ötvöskónyi;32115;község;2771;924;297;33,35
Pácin;15893;község;3393;1367;594;40,29
Pacsa;31741;város;2271;1624;689;71,51
Pácsony;07162;község;1001;275;130;27,47
Padár;24776;község;1069;117;76;10,94
Páhi;18670;község;3896;1213;665;31,13
Páka;29160;község;2318;1144;528;49,35
Pakod;24271;község;1255;854;351;68,05
Pákozd;25751;nagyközség;4330;3099;1174;71,57
Paks;04862;város;15408;18970;8415;123,12
Palé;23764;község;215;96;37;44,65
Pálfa;09371;község;3474;1527;662;43,96
Pálfiszeg;14720;község;559;161;65;28,80
Pálháza;12362;város;675;1041;420;154,22
Páli;19637;község;1958;412;214;21,04
Palkonya;07153;község;1000;275;125;27,50
Pálmajor;34041;község;624;349;93;55,93
Pálmonostora;02705;község;5328;1831;1094;34,37
Pálosvörösmart;34324;község;584;621;279;106,34
Palotabozsok;10135;község;2019;847;402;41,95
Palotás;05883;község;1707;1599;673;93,67
Paloznak;17011;község;880;438;227;49,77
Pamlény;12371;község;1240;33;40;2,66
Pamuk;26392;község;1196;264;125;22,07
Pánd;22248;község;2221;1919;727;86,40
Pankasz;23108;község;927;444;179;47,90
Pannonhalma;24305;város;2957;3997;1315;135,17
Pányok;24730;község;846;56;78;6,62
Panyola;29559;község;1222;606;287;49,59
Pap;27748;község;1715;1762;636;102,74
Pápa;31945;város;9162;30561;13735;333,56
Pápadereske;19868;község;575;263;106;45,74
Pápakovácsi;11855;község;1392;593;192;42,60
Pápasalamon;21607;község;1396;347;168;24,86
Pápateszér;31255;község;3074;1140;468;37,09
Papkeszi;07348;község;2239;1523;552;68,02
Pápoc;14067;község;3132;263;290;8,40
Papos;32577;község;1067;860;322;80,60
Páprád;07010;község;1211;144;76;11,89
Parád;07436;nagyközség;3720;1991;1015;53,52
Parádsasvár;20215;község;1694;345;222;20,37
Parasznya;26745;község;1676;1155;439;68,91
Pári;09618;község;1305;603;278;46,21
Paszab;31972;község;1296;1218;405;93,98
Pásztó;07409;város;7260;9172;4113;126,34
Pásztori;23481;község;852;372;117;43,66
Pat;29656;község;833;191;128;22,93
Patak;07199;község;1615;925;420;57,28
Patalom;06141;község;668;320;93;47,90
Patapoklosi;17792;község;1265;349;119;27,59
Patca;12168;község;496;64;37;12,90
Pátka;28848;község;4038;1697;691;42,03
Patosfa;15592;község;1507;239;136;15,86
Pátroha;12186;község;3923;2945;1017;75,07
Patvarc;33880;község;784;677;282;86,35
Páty;15024;község;3930;7368;2480;187,48
Pátyod;23685;község;910;642;285;70,55
Pázmánd;21786;község;2714;2168;910;79,88
Pázmándfalu;12715;község;1939;1051;426;54,20
Pécel;04057;város;4363;15642;5630;358,51
Pecöl;14988;község;1731;776;306;44,83
Pécs;19415;megyeszékhely,megyeijogúváros;16277;144675;72628;888,83
Pécsbagota;21519;község;607;101;44;16,64
Pécsdevecser;15389;község;474;107;48;22,57
Pécsely;22451;község;2001;555;221;27,74
Pécsudvard;21096;község;843;771;280;91,46
Pécsvárad;10825;város;3603;3985;1523;110,60
Pellérd;16115;község;2093;2263;742;108,12
Pély;19567;község;9030;1366;663;15,13
Penc;18689;község;2134;1558;540;73,01
Penészlek;17084;község;3692;1032;483;27,95
Pénzesgyõr;15547;község;1765;335;145;18,98
Penyige;32692;község;1889;745;281;39,44
Pér;15529;község;3149;2392;980;75,96
Perbál;28185;község;2565;2020;721;78,75
Pere;24420;község;953;335;161;35,15
Perecse;32683;község;1254;26;34;2,07
Pereked;12867;község;674;145;75;21,51
Perenye;13684;község;1622;650;233;40,07
Peresznye;08882;község;1073;619;199;57,69
Pereszteg;23773;község;2251;1435;530;63,75
Perkáta;19354;nagyközség;7452;3943;1554;52,91
Perkupa;33419;község;1939;804;366;41,46
Perõcsény;04181;község;4140;301;202;7,27
Peterd;32425;község;1060;202;93;19,06
Péterhida;29197;község;1162;146;103;12,56
Péteri;21847;község;1189;2322;822;195,29
Pétervására;12070;város;3387;2043;908;60,32
Pétfürdõ;34254;nagyközség;1732;4690;1953;270,79
Pethõhenye;05704;község;887;415;184;46,79
Petneháza;17224;község;2419;1697;676;70,15
Petõfibánya;33686;község;1111;2541;1371;228,71
Petõfiszállás;15431;község;6779;1432;780;21,12
Petõháza;22831;község;264;1096;433;415,15
Petõmihályfa;11572;község;995;206;104;20,70
Petrikeresztúr;19178;község;877;350;179;39,91
Petrivente;30757;község;765;334;132;43,66
Pettend;29762;község;598;134;50;22,41
Piliny;11590;község;1604;578;279;36,03
Pilis;09821;város;4735;11580;4535;244,56
Pilisborosjenõ;29601;község;927;3694;1334;398,49
Piliscsaba;07144;város;2557;8337;2891;326,05
Piliscsév;21874;község;2491;2396;922;96,19
Pilisjászfalu;34148;község;697;1615;518;231,71
Pilismarót;14669;község;4458;2023;766;45,38
Pilisvörösvár;14340;város;2430;13971;4929;574,94
Pilisszántó;05290;község;1596;2925;1453;183,27
Pilisszentiván;11396;község;812;4186;1616;515,52
Pilisszentkereszt;18731;község;1721;2151;843;124,99
Pilisszentlászló;08457;község;1775;1162;470;65,46
Pincehely;19585;nagyközség;5009;2158;1049;43,08
Pinkamindszent;06248;község;1101;165;112;14,99
Pinnye;14687;község;864;332;144;38,43
Piricse;03391;község;3699;1870;619;50,55
Pirtó;15398;község;3450;923;416;26,75
Piskó;23506;község;1155;237;83;20,52
Pitvaros;06284;község;1314;1331;652;101,29
Pócsa;22266;község;805;161;65;20,00
Pocsaj;11837;nagyközség;4955;2606;998;52,59
Pócsmegyer;04905;község;1308;2168;867;165,75
Pócspetri;11244;község;2637;1682;641;63,78
Pogány;17242;község;1155;1197;404;103,64
Pogányszentpéter;27553;község;1315;486;183;36,96
Pókaszepetk;21050;község;1869;912;361;48,80
Polány;13790;község;1287;230;147;17,87
Polgár;23117;város;9744;7904;3396;81,12
Polgárdi;17525;város;7216;6931;2346;96,05
Pomáz;06372;város;4903;16994;6227;346,60
Porcsalma;17215;nagyközség;3110;2787;998;89,61
Pornóapáti;20367;község;1514;413;145;27,28
Poroszló;22196;község;10904;2882;1358;26,43
Porpác;29896;község;620;131;80;21,13
Porrog;11828;község;1402;211;130;15,05
Porrogszentkirály;13930;község;1365;262;150;19,19
Porrogszentpál;28510;község;354;86;43;24,29
Pórszombat;16850;község;1552;269;141;17,33
Porva;23515;község;2813;425;171;15,11
Pósfa;15671;község;535;262;109;48,97
Potony;28361;község;1590;176;117;11,07
Potyond;27304;község;284;102;47;35,92
Pölöske;09867;község;4523;796;314;17,60
Pölöskefõ;31112;község;1232;364;162;29,55
Pörböly;33570;község;1111;546;240;49,14
Pördefölde;32513;község;1912;52;42;2,72
Pötréte;24660;község;1412;246;154;17,42
Prügy;21272;község;3139;2472;827;78,75
Pula;11420;község;1464;195;88;13,32
Pusztaapáti;16920;község;1059;22;21;2,08
Pusztaberki;17862;község;685;119;120;17,37
Pusztacsalád;31370;község;2406;271;129;11,26
Pusztacsó;10311;község;726;171;60;23,55
Pusztadobos;13860;község;1669;1579;519;94,61
Pusztaederics;27465;község;955;174;91;18,22
Pusztafalu;17048;község;700;164;104;23,43
Pusztaföldvár;05397;község;5713;1574;855;27,55
Pusztahencse;19938;község;3171;929;375;29,30
Pusztakovácsi;19026;község;4338;821;337;18,93
Pusztamagyaród;06530;község;1602;536;264;33,46
Pusztamérges;06354;község;2439;1002;611;41,08
Pusztamiske;28972;község;1782;403;145;22,62
Pusztamonostor;15246;község;2462;1518;753;61,66
Pusztaottlaka;19594;község;1887;354;231;18,76
Pusztaradvány;15413;község;714;224;69;31,37
Pusztaszabolcs;29018;város;5167;5877;2277;113,74
Pusztaszemes;23311;község;1039;338;159;32,53
Pusztaszentlászló;26639;község;1034;562;271;54,35
Pusztaszer;28592;község;4893;1365;752;27,90
Pusztavacs;23083;község;7907;1345;573;17,01
Pusztavám;17774;község;3469;2475;985;71,35
Pusztazámor;15583;község;927;1163;440;125,46
Putnok;27410;város;3472;6572;2549;189,29
Püski;12964;község;839;634;255;75,57
Püspökhatvan;21388;község;2472;1402;509;56,72
Püspökladány;10162;város;18694;14318;5984;76,59
Püspökmolnári;07278;község;1510;869;394;57,55
Püspökszilágy;04303;község;2530;725;297;28,66
Rábacsanak;04792;község;1386;485;265;34,99
Rábacsécsény;33701;község;1568;569;246;36,29
Rábagyarmat;26736;község;1679;788;293;46,93
Rábahídvég;03197;község;2241;1020;389;45,52
Rábakecöl;14793;község;2303;651;348;28,27
Rábapatona;25335;község;3974;2591;960;65,20
Rábapaty;26073;község;2141;1629;673;76,09
Rábapordány;24721;község;2190;1011;439;46,16
Rábasebes;20136;község;539;56;84;10,39
Rábaszentandrás;15273;község;1160;472;209;40,69
Rábaszentmihály;33710;község;1097;491;199;44,76
Rábaszentmiklós;17297;község;501;137;65;27,35
Rábatamási;15422;község;2177;933;438;42,86
Rábatöttös;17996;község;648;210;123;32,41
Rábcakapi;03753;község;787;148;90;18,81
Rácalmás;09900;város;4064;4563;1725;112,28
Ráckeresztúr;02015;község;3530;3280;1283;92,92
Ráckeve;17260;város;6409;10276;4033;160,34
Rád;02370;község;1774;1948;674;109,81
Rádfalva;11518;község;1288;187;91;14,52
Rádóckölked;07551;község;1895;297;135;15,67
Radostyán;21193;község;810;560;222;69,14
Ragály;06053;község;1554;637;249;40,99
Rajka;26587;község;5260;2843;1556;54,05
Rakaca;29717;község;1900;815;260;42,89
Rakacaszend;16133;község;1571;330;159;21,01
Rakamaz;14739;város;4263;4298;1850;100,82
Rákóczibánya;34360;község;457;684;309;149,67
Rákóczifalva;14207;város;3594;5256;2246;146,24
Rákócziújfalu;12423;község;1961;1911;734;97,45
Ráksi;30863;község;1517;419;184;27,62
Ramocsa;14298;község;273;36;20;13,19
Ramocsaháza;31857;község;1812;1508;542;83,22
Rápolt;09061;község;321;152;85;47,35
Raposka;03948;község;490;225;98;45,92
Rásonysápberencs;31909;község;912;565;193;61,95
Rátka;12469;község;1178;948;422;80,48
Rátót;23861;község;727;221;103;30,40
Ravazd;21801;község;2855;1180;474;41,33
Recsk;09609;nagyközség;4537;2617;1298;57,68
Réde;30012;község;4588;1325;565;28,88
Rédics;31592;község;2533;862;378;34,03
Regéc;08402;község;2721;75;74;2,76
Regenye;25292;község;615;140;59;22,76
Regöly;15459;község;6267;1138;531;18,16
Rém;26310;község;3993;1235;572;30,93
Remeteszõlõs;34315;község;289;867;327;300,00
Répáshuta;31884;község;1679;432;185;25,73
Répcelak;30881;város;1382;2627;1069;190,09
Répceszemere;14438;község;942;315;140;33,44
Répceszentgyörgy;28626;község;575;102;83;17,74
Répcevis;07746;község;609;335;146;55,01
Resznek;17118;község;1842;253;153;13,74
Rétalap;33969;község;1320;581;215;44,02
Rétközberencs;21573;község;1580;1078;373;68,23
Rétság;23825;város;1981;2724;1160;137,51
Révfülöp;05625;nagyközség;1036;1138;612;109,85
Révleányvár;09317;község;1650;447;288;27,09
Rezi;23898;község;2977;1208;497;40,58
Ricse;19220;nagyközség;2475;1796;627;72,57
Rigács;25849;község;617;177;98;28,69
Rigyác;24138;község;1536;387;144;25,20
Rimóc;28884;község;2925;1794;689;61,33
Rinyabesenyõ;05078;község;2863;224;74;7,82
Rinyakovácsi;32674;község;1109;187;65;16,86
Rinyaszentkirály;26754;község;3056;391;152;12,79
Rinyaújlak;20622;község;2426;256;152;10,55
Rinyaújnép;20321;község;828;55;50;6,64
Rohod;24581;község;1956;1219;446;62,32
Románd;17507;község;985;304;144;30,86
Romhány;12195;község;2547;2051;926;80,53
Romonya;24855;község;707;526;176;74,40
Rózsafa;04516;község;1664;347;141;20,85
Rozsály;17428;község;1487;765;256;51,45
Rózsaszentmárton;27650;község;1631;1927;894;118,15
Röjtökmuzsaj;11068;község;1586;483;205;30,45
Rönök;26806;község;1722;409;165;23,75
Röszke;13161;község;3663;3252;1400;88,78
Rudabánya;23029;város;1646;2404;1126;146,05
Rudolftelep;34120;község;439;728;295;165,83
Rum;10597;község;1685;1206;463;71,57
Ruzsa;03966;község;8468;2401;1315;28,35
Ságújfalu;12520;község;1203;993;393;82,54
Ságvár;14942;község;3844;1787;697;46,49
Sajóbábony;03504;város;1343;2698;1139;200,89
Sajóecseg;27331;község;794;1040;429;130,98
Sajógalgóc;10171;község;1012;336;138;33,20
Sajóhídvég;03081;község;1344;1073;331;79,84
Sajóivánka;03212;község;1023;612;225;59,82
Sajókápolna;21670;község;1051;392;157;37,30
Sajókaza;14313;község;3072;3041;995;98,99
Sajókeresztúr;26949;község;1640;1457;567;88,84
Sajólád;27173;község;1268;2791;981;220,11
Sajólászlófalva;22479;község;662;437;158;66,01
Sajómercse;15945;község;1118;216;129;19,32
Sajónémeti;11332;község;737;487;226;66,08
Sajóörös;08129;község;844;1272;539;150,71
Sajópálfala;18537;község;711;693;286;97,47
Sajópetri;16638;község;928;1397;480;150,54
Sajópüspöki;23782;község;945;453;198;47,94
Sajósenye;08970;község;847;432;142;51,00
Sajószentpéter;16054;város;3485;11385;4564;326,69
Sajószöged;30340;község;1362;2185;929;160,43
Sajóvámos;20738;község;3122;2035;779;65,18
Sajóvelezd;27757;község;2302;754;305;32,75
Sajtoskál;10579;község;941;335;169;35,60
Salföld;30793;község;518;71;42;13,71
Salgótarján;25788;megyeszékhely,megyeijogúváros;9797;34627;18031;353,44
Salköveskút;18883;község;1320;478;188;36,21
Salomvár;27720;község;1611;599;246;37,18
Sály;04729;község;2557;1676;686;65,55
Sámod;18050;község;620;173;78;27,90
Sámsonháza;24572;község;1271;249;155;19,59
Sand;15556;község;748;361;200;48,26
